product,variant,pack_size,unit,packaging_type,mrp,selling_price,fat_percent,protein_percent,shelf_life_days,status
Amul Gold Full Cream Milk,Regular,500,ml,pouch,36,35,6.0,3.3,7,active
Amul Gold Full Cream Milk,Regular,1000,ml,pouch,68,65,6.0,3.3,7,active
Amul Gold Full Cream Milk,Regular,200,ml,pouch,16,15,6.0,3.3,7,active
Amul Taaza Toned Milk,Regular,500,ml,pouch,28,27,4.5,3.0,7,active
Amul Taaza Toned Milk,Regular,1000,ml,pouch,54,52,4.5,3.0,7,active
Amul Taaza Toned Milk,Regular,200,ml,pouch,12,11,4.5,3.0,7,active
Amul Shakti Double Toned Milk,Regular,500,ml,pouch,24,23,3.0,3.0,7,active
Amul Shakti Double Toned Milk,Regular,1000,ml,pouch,46,44,3.0,3.0,7,active
Amul Slim & Trim Skimmed Milk,Regular,500,ml,pouch,22,21,0.5,3.4,7,active
Amul UHT Milk,Regular,500,ml,tetrapack,32,30,4.5,3.0,180,active
Amul UHT Milk,Regular,1000,ml,tetrapack,60,58,4.5,3.0,180,active
Mother Dairy Full Cream Milk,Regular,500,ml,pouch,35,34,6.0,3.3,7,active
Mother Dairy Full Cream Milk,Regular,1000,ml,pouch,66,64,6.0,3.3,7,active
Mother Dairy Toned Milk,Regular,500,ml,pouch,27,26,4.5,3.0,7,active
Mother Dairy Toned Milk,Regular,1000,ml,pouch,52,50,4.5,3.0,7,active
Mother Dairy Double Toned Milk,Regular,500,ml,pouch,23,22,3.0,3.0,7,active
Mother Dairy UHT Milk,Regular,500,ml,tetrapack,30,29,4.5,3.0,180,active
Mother Dairy UHT Milk,Regular,1000,ml,tetrapack,58,56,4.5,3.0,180,active
Nestle A+ Milk,Regular,500,ml,pouch,36,35,6.0,3.3,7,active
Nestle A+ Milk,Regular,1000,ml,pouch,68,65,6.0,3.3,7,active
Nestle A+ Toned Milk,Regular,500,ml,pouch,28,27,4.5,3.0,7,active
Nestle A+ UHT Milk,Regular,500,ml,tetrapack,32,30,4.5,3.0,180,active
Nestle A+ UHT Milk,Regular,1000,ml,tetrapack,60,58,4.5,3.0,180,active
Heritage Full Cream Milk,Regular,500,ml,pouch,34,33,6.0,3.3,7,active
Heritage Full Cream Milk,Regular,1000,ml,pouch,64,62,6.0,3.3,7,active
Heritage Toned Milk,Regular,500,ml,pouch,26,25,4.5,3.0,7,active
Heritage Toned Milk,Regular,1000,ml,pouch,50,48,4.5,3.0,7,active
Verka Full Cream Milk,Regular,500,ml,pouch,32,31,6.0,3.3,7,active
Verka Full Cream Milk,Regular,1000,ml,pouch,60,58,6.0,3.3,7,active
Verka Toned Milk,Regular,500,ml,pouch,25,24,4.5,3.0,7,active
Verka Skimmed Milk,Regular,500,ml,pouch,20,19,0.5,3.4,7,active
Dodla Full Cream Milk,Regular,500,ml,pouch,34,33,6.0,3.3,7,active
Dodla Toned Milk,Regular,500,ml,pouch,26,25,4.5,3.0,7,active
Hatsun Arokya Full Cream,Regular,500,ml,pouch,35,34,6.0,3.3,7,active
Hatsun Arokya Full Cream,Regular,1000,ml,pouch,66,64,6.0,3.3,7,active
Hatsun Arokya Toned,Regular,500,ml,pouch,27,26,4.5,3.0,7,active
Nandini Ksheera,Regular,500,ml,pouch,30,29,6.0,3.3,7,active
Nandini Toned,Regular,500,ml,pouch,24,23,4.5,3.0,7,active
Nandini Shubham,Regular,500,ml,pouch,24,23,4.5,3.0,7,active
Milma Full Cream,Regular,500,ml,pouch,33,32,6.0,3.3,7,active
Milma Toned,Regular,500,ml,pouch,26,25,4.5,3.0,7,active
Dudhsagar Full Cream,Regular,500,ml,pouch,30,29,6.0,3.3,7,active
Warana Toned,Regular,500,ml,pouch,24,23,4.5,3.0,7,active
Amul Curd,Regular,400,g,pouch,36,35,4.5,3.0,15,active
Amul Curd,Regular,200,g,cup,18,17,4.5,3.0,15,active
Amul Curd,Family,800,g,pouch,68,66,4.5,3.0,15,active
Mother Dairy Curd,Regular,400,g,pouch,34,33,4.5,3.0,15,active
